branch|loan_number|loan_amount|
Cleveland|3.579015471801962E15|$127764.77|
Durham|5.602236200816065E15|$147002.00|
Cinicinnati|3.572681295851421E15|$410797.02|
Tampa|5.108754738137647E15|$288861.57|
Charlotte|4.041599224474E12|$330692.93|
Stow|3.583411829762622E15|$221231.55|
State College|3.541809688518624E15|$222881.16|
Columbus|5.485996734186762E15|$316173.89|
Fairfax|3.0148519036033E13|$263731.63|
Columbus|4.9117471216298977E18|$267099.46|
Raleigh|3.581385039199936E15|$283680.80|
Tampa|3.0488245191615E13|$288979.12|
Cinicinnati|4.9114347626612115E17|$285771.29|
Fairfax|2.01893858723815E14|$214588.02|
Columbus|3.588663940008864E15|$129961.72|
Cleveland|3.550367852034074E15|$367365.48|
Cinicinnati|3.543129789721151E15|$207204.16|
Tampa|6.7625623870743136E16|$371526.47|
State College|5.6022363525040872E16|$138363.74|
Charlotte|5.100176420770402E15|$378113.68|
Charlotte|3.566677851053541E15|$92776.77|
Durham|5.6022242543123283E17|$312783.72|
Cinicinnati|3.535156229176175E15|$359861.71|
Cinicinnati|4.041590925862198E15|$254808.91|
Cleveland|6.046829278651356E15|$193684.26|
Cinicinnati|3.562600451542402E15|$141855.73|
Cleveland|3.573344134149031E15|$408044.78|
State College|3.568321002083507E15|$276310.61|
Charlotte|2.01929078185102E14|$151184.00|
Columbus|6.762866498906717E15|$103729.88|
Charlotte|5.610764435900834E15|$326180.68|
Columbus|3.536678396773236E15|$424556.08|
Cinicinnati|4.844357717978387E15|$164589.35|
Columbus|3.564840356109745E15|$184270.86|
Stow|3.53592535482877E15|$280767.89|
Charlotte|3.589697464359716E15|$212581.95|
Durham|3.74283121486948E14|$365880.94|
Charlotte|3.589276565196622E15|$85114.44|
State College|3.549932034473534E15|$333104.77|
Tampa|5.602246244786687E15|$354719.77|
Charlotte|3.584756977030803E15|$168347.45|
Cinicinnati|3.532919511620199E15|$214064.44|
Charlotte|3.579148100440405E15|$174422.47|
Tampa|5.61098318155445E15|$398378.70|
Stow|5.528870262661539E15|$199359.63|
Durham|3.44185703545941E14|$327777.03|
Reston|4.017951915531286E15|$352286.67|
Columbus|5.60223822295936E15|$438028.28|
Cinicinnati|5.6022235487882288E16|$263084.25|
State College|6.3829601406305E15|$122163.64|
Tampa|3.529713888927039E15|$275804.34|
Tampa|4.017955160429E12|$316341.57|
Raleigh|5.6418236587311667E18|$387421.73|
Stow|5.48119225716771E15|$342070.04|
Durham|5.531577081820882E15|$343597.10|
Stow|3.564279922125457E15|$132656.73|
Stow|3.45764547678222E14|$191280.26|
Raleigh|3.6689205862723E13|$380153.81|
State College|3.571236114310579E15|$342593.83|
Raleigh|6.7679424097584364E18|$264211.41|
Cleveland|3.57086471519725E15|$249530.48|
Reston|3.581489886138656E15|$415434.53|
Reston|6.763499053895676E15|$173703.01|
Stow|5.100141685865909E15|$325687.65|
Tampa|3.570845876615776E15|$308676.93|
State College|3.537223039864164E15|$317577.54|
Fairfax|3.54548102840985E15|$143414.06|
Columbus|5.0383644552589824E17|$287435.78|
Cleveland|5.338971650996469E15|$392921.66|
Stow|5.386912062982714E15|$200914.90|
Fairfax|3.539760587488068E15|$398490.18|
Columbus|3.564020133729921E15|$278532.61|
Cinicinnati|3.537931335733905E15|$428820.65|
Tampa|4.041598546711E12|$279084.27|
Cleveland|3.56467220560495E15|$203300.23|
Tampa|3.570466700387332E15|$210940.38|
Columbus|3.571851880387476E15|$364878.90|
Cleveland|3.56192620576803E15|$430822.12|
Durham|3.5313094150956E15|$310431.66|
Cleveland|4.320490355318E12|$295480.97|
Cinicinnati|3.555081152460633E15|$266613.62|
Cleveland|4.917146945182512E15|$306419.93|
Fairfax|5.602224591748279E15|$100965.73|
Durham|6.759769662024231E15|$444257.89|
State College|3.572450873235351E15|$281171.92|
Tampa|4.844585547607327E15|$210943.17|
Charlotte|4.405787412862109E15|$426193.82|
Tampa|3.572529091777896E15|$288842.35|
Reston|6.374980485567356E15|$99717.23|
Reston|5.602216477135308E15|$215921.21|
Charlotte|3.541121526527985E15|$250898.92|
Tampa|5.60224532452945E18|$202180.09|
Charlotte|3.529795585978001E15|$83945.18|
State College|6.759559369429208E16|$230188.83|
Charlotte|3.6674524753589E13|$253242.93|
Raleigh|5.6022512226167472E16|$415570.82|
Fairfax|3.550501647844195E15|$404746.44|
Fairfax|3.530682767627555E15|$314075.88|
Durham|6.7677769385249782E18|$386834.14|
Durham|3.0535245290142E13|$151264.23|
Durham|3.535400750693152E15|$353043.75|
Cinicinnati|3.560943518478398E15|$315370.48|
Stow|4.026760480298505E15|$332015.86|
Cleveland|6.375469725888847E15|$99770.26|
Raleigh|5.0183281046446656E17|$183175.16|
State College|3.6486083788884E13|$169199.00|
Tampa|5.602243620039294E15|$136916.77|
Raleigh|3.561360876944268E15|$309736.83|
Reston|5.514720315040957E15|$241450.63|
Charlotte|6.761956810301001E15|$168906.77|
Durham|4.917600809941736E15|$410949.26|
Charlotte|3.565087167667565E15|$189014.29|
State College|3.584196763149873E15|$259794.94|
Tampa|3.540965112941617E15|$138161.40|
Stow|3.567835924199381E15|$413500.23|
Reston|3.74622549563095E14|$276619.81|
Durham|2.01837791991211E14|$145959.72|
Stow|5.304804737305125E15|$333135.46|
Stow|3.528451451947693E15|$135401.44|
Fairfax|3.558472693558067E15|$319086.64|
Cleveland|3.588396395276534E15|$220830.21|
Reston|3.3794197901333E14|$126575.78|
Cleveland|3.589037761995633E15|$131380.83|
Reston|6.331108000387298E15|$86243.49|
Tampa|3.550061905319109E15|$177257.92|
Reston|6.334905613717929E17|$403097.56|
Cleveland|3.53395743521798E15|$388668.23|
Tampa|6.771155485266768E16|$427249.68|
Reston|3.0303699048411E13|$293179.18|
Tampa|3.573569590327743E15|$351363.88|
Cinicinnati|4.8445608242641E15|$273883.28|
State College|3.54785056362545E15|$233436.95|
Durham|3.58890981322372E15|$446210.57|
Reston|3.566598098934923E15|$406297.09|
Durham|3.015305264307E13|$433806.69|
State College|3.0090982857505E13|$372499.55|
Cinicinnati|5.602249201135203E15|$262210.07|
Cleveland|5.547320309002153E15|$125745.47|
Columbus|3.582356521554465E15|$144998.14|
Columbus|3.0153065241995E13|$287132.18|
Cinicinnati|6.0484115434663744E17|$376661.75|
Cinicinnati|3.041811203608E13|$340056.37|
Durham|6.3311028740356326E17|$195746.84|
Charlotte|3.013431475812E13|$225782.46|
Durham|5.587653607733397E15|$308552.35|
State College|3.6059382512303E13|$214673.67|
Tampa|6.767812025617919E15|$279992.86|
Reston|5.048372695484531E15|$421327.79|
Charlotte|6.0423029805428966E17|$242127.24|
Stow|6.761884296835815E15|$107207.99|
Durham|5.100178342024645E15|$330972.96|
Charlotte|3.555244105478348E15|$378737.66|
Tampa|6.371519106963579E15|$357621.04|
Reston|3.562507521872737E15|$288537.23|
Stow|3.74288369143523E14|$423596.04|
Charlotte|3.58457749935992E15|$355383.57|
Durham|3.55577649843809E15|$204176.20|
Columbus|3.577451045909514E15|$297462.33|
Columbus|6.372539963347525E15|$284174.50|
Cleveland|5.61093786231889E18|$173478.18|
Durham|6.7628315430605504E17|$153808.31|
Stow|5.602214347837294E15|$314120.46|
Columbus|3.543981405483925E15|$196744.83|
Raleigh|3.547543300692749E15|$119433.61|
Columbus|6.762286890164965E15|$260942.86|
Fairfax|3.571102774202102E15|$191423.83|
Columbus|4.917298248992632E15|$267206.14|
Cinicinnati|3.557245271936983E15|$247829.42|
Cleveland|3.561837784076895E15|$178423.47|
Raleigh|3.58889106584536E15|$344253.64|
Stow|5.6022413942563E18|$430931.55|
Durham|3.555265131382881E15|$368809.70|
Fairfax|3.587622389117231E15|$225149.17|
Durham|3.578359662087572E15|$112818.88|
Columbus|3.0277174730026E13|$305483.92|
Charlotte|5.602218687149871E15|$421052.87|
Durham|3.74288264919084E14|$130534.72|
State College|5.426418716466577E15|$225860.43|
Reston|5.514557923392549E15|$212759.69|
Columbus|4.9037129537067756E18|$426924.22|
Raleigh|3.550249197932107E15|$309222.15|
Cleveland|3.540252505465326E15|$321153.77|
Fairfax|3.72471547490196E14|$91326.95|
Cinicinnati|3.46446574796064E14|$429295.44|
Cinicinnati|5.100177509443192E15|$275285.75|
Reston|3.74288816300023E14|$420163.64|
Columbus|3.576835142487799E15|$243481.21|
Columbus|3.72301428145959E14|$123038.78|
Stow|3.561044658246528E15|$157566.09|
Reston|3.545935829144263E15|$310506.86|
Cleveland|3.533613089498521E15|$355591.44|
Charlotte|3.549615657086598E15|$168251.28|
Tampa|3.57904093360953E15|$118261.87|
Fairfax|3.558402297825471E15|$84780.08|
Durham|3.543315361863467E15|$199961.95|
Stow|3.54443364467138E15|$290345.70|
Reston|6.7627844778894367E18|$250310.06|
Cleveland|2.01565268311346E14|$439491.21|
State College|5.602252869744829E15|$390700.06|
Cleveland|6.7090845090834729E18|$248180.03|
Durham|4.913371180701255E15|$183730.00|
Durham|3.531227545129919E15|$115431.37|
Fairfax|6.304677406242807E17|$361650.29|
Fairfax|4.9053188380874762E18|$438319.18|
Charlotte|5.460532530753478E15|$116766.60|
Stow|5.108754813789346E15|$404970.73|
Reston|3.570548934895493E15|$121107.44|
Columbus|5.6022523347392082E18|$320451.79|
Stow|3.559715959609357E15|$260748.07|
Fairfax|4.903889053769242E15|$332703.56|
State College|3.74283183435056E14|$169034.61|
Cleveland|3.574260335013181E15|$108819.82|
Durham|5.020253399170828E15|$384976.63|
Reston|3.0577124435646E13|$87249.89|
Columbus|3.557891442185966E15|$86521.89|
Cinicinnati|3.57655227611911E15|$175504.66|
Durham|3.58490408197065E15|$104750.67|
Charlotte|3.0598615518278E13|$287686.24|
Durham|6.7596963431407091E17|$181432.52|
Reston|5.020550781445721E17|$440665.92|
Fairfax|3.547647467129294E15|$348178.52|
State College|6.7593301481694477E17|$432413.64|
State College|5.6022395706856552E16|$251860.87|
Cleveland|3.576520810926613E15|$338256.18|
Tampa|5.0186241128370094E18|$403706.59|
Fairfax|3.77357353073652E14|$90361.55|
State College|3.545253393660064E15|$249989.43|
Tampa|3.543718912906646E15|$404792.54|
Stow|2.01474015959871E14|$376219.58|
Tampa|3.528302304284489E15|$294105.43|
Raleigh|4.175000365155515E15|$170366.28|
Cinicinnati|6.304978740352489E17|$412196.22|
Raleigh|3.58727015932385E15|$110019.84|
Charlotte|5.602234809033976E15|$421185.67|
Stow|6.7629596428746947E18|$226642.01|
Stow|3.0326936379166E13|$446408.32|
Stow|3.53193726928716E15|$95789.79|
Charlotte|3.586943341304449E15|$330302.44|
Fairfax|3.566463508523933E15|$106574.29|
State College|5.108755513664796E15|$115078.26|
Reston|6.7637753090371564E18|$337497.80|
Charlotte|3.578289161556795E15|$256704.58|
Fairfax|3.72301845774019E14|$354953.18|
Raleigh|3.548022265248226E15|$350858.15|
Stow|4.9030254634382592E18|$117134.35|
Columbus|3.547404827584572E15|$383320.50|
Stow|4.675837853345404E15|$153722.77|
Fairfax|3.74622710463349E14|$118799.32|
Stow|3.0416951477498E13|$261629.56|
Durham|6.0485519873647309E17|$369789.29|
Cleveland|3.57995360411063E15|$423072.98|
Charlotte|3.586624880869717E15|$307345.98|
Raleigh|3.556490263885324E15|$157643.34|
Raleigh|3.540151764968162E15|$357828.77|
Durham|3.545307540454142E15|$227006.07|
State College|3.563629994066941E15|$389753.95|
Reston|5.6022239118450982E17|$366641.62|
Raleigh|3.558636387158679E15|$388756.24|
Cinicinnati|3.540944614416097E15|$210680.28|
Charlotte|4.041371897056964E15|$345346.99|
Reston|4.508174034736357E15|$168644.82|
Cinicinnati|3.570339952063648E15|$242340.55|
Durham|3.053183288678E13|$350225.86|
Durham|3.541953303550883E15|$311311.02|
Tampa|3.538379300754127E15|$96033.87|
Charlotte|2.01450726265907E14|$80858.30|
Cleveland|5.602234881171678E15|$297329.40|
Stow|5.048372506370523E15|$389599.04|
Cleveland|4.9039159713973678E18|$139081.43|
Stow|5.6022531262411181E17|$223129.04|
Stow|5.451646287415734E15|$244404.88|
Columbus|3.537413535580253E15|$323501.27|
State College|5.10013809380541E15|$189379.84|
Cinicinnati|5.602254019443153E15|$445260.61|
Charlotte|5.610632412676505E15|$336627.79|
Tampa|6.7090114600843336E18|$208438.15|
State College|4.936178351792101E15|$393252.72|
Charlotte|6.7718083071288627E17|$133065.50|
Reston|6.759205633399592E15|$202353.87|
Cleveland|3.538286405942582E15|$290984.76|
Cinicinnati|3.74288100344547E14|$299947.10|
Stow|5.602224523735832E15|$308862.23|
Cinicinnati|6.3335246920615667E17|$122425.93|
State College|5.602254462120456E15|$185108.41|
State College|3.535343711072258E15|$125854.35|
Charlotte|5.0384408147822784E16|$112180.16|
Charlotte|3.572987209430156E15|$149097.24|
Cleveland|6.398459427297788E15|$270335.34|
Tampa|3.532634067064235E15|$360568.23|
Cinicinnati|3.58592653961839E15|$343250.46|
State College|5.602256129109715E15|$337631.31|
Columbus|3.53426977767939E15|$411645.51|
Columbus|2.01742352017457E14|$159457.85|
Cleveland|3.589367796671929E15|$318432.69|
Stow|6.377917942296515E15|$93386.24|
Fairfax|5.602240725266111E15|$164270.65|
Tampa|5.437868096666948E15|$396866.91|
Charlotte|5.6106520881731318E18|$398254.78|
Reston|3.567623323281731E15|$416435.94|
State College|3.0256969456112E13|$364936.10|
State College|2.0189682588442E14|$201634.69|
Stow|3.57847260088668E15|$381376.45|
State College|4.9362604175235523E18|$222942.41|
Columbus|3.546998795717479E15|$273595.67|
Cleveland|3.562438798975948E15|$239434.72|
Raleigh|5.0206858825266678E18|$398327.38|
Columbus|4.913616433394229E15|$423249.79|
Tampa|6.042183599119774E15|$141071.57|
Columbus|3.560538702146973E15|$97302.65|
State College|3.529632958681005E15|$90355.29|
Cinicinnati|3.0592925021636E13|$326386.49|
Stow|4.844113247354742E15|$182499.45|
Reston|6.3347991093032205E17|$123427.45|
Cinicinnati|3.550139787637416E15|$94032.09|
Charlotte|5.108752480427265E15|$427023.55|
Fairfax|3.54003643403297E15|$363034.61|
Raleigh|3.555677709899452E15|$162899.63|
Durham|5.602219838831672E15|$143191.19|
Charlotte|6.7591516116948314E17|$325540.70|
Cinicinnati|5.108759555893362E15|$144407.60|
Cinicinnati|5.002353229563937E15|$301762.36|
Fairfax|3.532066952263053E15|$305308.35|
Charlotte|3.57539010013103E15|$405153.77|
Reston|3.0566064145455E13|$243106.67|
Tampa|3.0149344000004E13|$442573.78|
Cinicinnati|4.844896302290377E15|$228338.17|
Reston|3.530344628996642E15|$108812.58|
Reston|3.582102761354715E15|$417986.00|
Reston|6.3047362554374236E18|$301316.96|
Cleveland|4.844882713735507E15|$158645.63|
Reston|3.74288880541445E14|$148093.83|
Tampa|6.7093381463817861E18|$424835.57|
Fairfax|3.540823875536076E15|$103472.56|
Columbus|5.602235930761252E15|$435743.70|
Tampa|4.9055213372766874E17|$437772.45|
Charlotte|5.100140867987473E15|$286494.56|
Stow|6.7626479067622994E18|$424365.86|
Charlotte|3.529384367890674E15|$352596.22|
Cinicinnati|4.609130708731437E15|$282563.01|
Durham|3.532522514666175E15|$222497.82|
Stow|5.6022190247026463E18|$275733.43|
Fairfax|3.568125872010841E15|$394767.38|
Cleveland|4.508396276825602E15|$323436.60|
Cleveland|3.556559811003075E15|$298184.15|
Durham|4.508599807874607E15|$272491.69|
Columbus|3.549053969413138E15|$150685.54|
State College|5.048373645555149E15|$342808.85|
Charlotte|6.304015294449975E17|$213602.40|
Raleigh|3.581229071816512E15|$359578.60|
Stow|3.583486202512992E15|$194231.51|
Fairfax|5.100144270749942E15|$199045.94|
Columbus|2.01520042947899E14|$256827.39|
Fairfax|3.556222545459226E15|$189900.86|
Charlotte|3.554838383078083E15|$333667.61|
Tampa|6.762554422347006E15|$185512.60|
Charlotte|4.9368703253792902E17|$147214.80|
Raleigh|3.56347055782381E15|$354472.13|
Tampa|6.7625348514518282E18|$357600.35|
Fairfax|3.573130665538977E15|$406781.54|
Fairfax|5.007661117969866E15|$399354.99|
Raleigh|3.58058654642152E15|$443643.63|
Cinicinnati|3.561642506720691E15|$404022.69|
Columbus|5.602243400114764E16|$182965.41|
Stow|3.535892453086942E15|$142093.46|
Tampa|5.602224532105209E15|$248420.90|
Charlotte|3.0093939155551E13|$322506.99|
Fairfax|6.3048063631294643E17|$422923.48|
State College|3.588462628666519E15|$232751.01|
Cinicinnati|2.01635493165039E14|$368141.54|
Cinicinnati|3.566073988688708E15|$135728.72|
Reston|3.576327441364416E15|$351690.09|
Durham|4.026288786585573E15|$345333.55|
State College|3.546144749210861E15|$399746.98|
Tampa|2.01824565219219E14|$84583.07|
Durham|2.01718367816752E14|$326699.34|
State College|3.537940535873031E15|$431718.08|
Cinicinnati|3.557809288827954E15|$187413.70|
Stow|6.7621892000250744E16|$227216.85|
Stow|3.568152013082141E15|$173787.62|
Tampa|2.01709728232649E14|$87237.28|
Charlotte|3.532795116824869E15|$89245.54|
Raleigh|6.333420789664948E15|$353045.16|
Raleigh|3.56814273557077E15|$441878.70|
Cinicinnati|2.01680412421709E14|$284462.02|
Cinicinnati|3.573574664183626E15|$401734.10|
Stow|3.555011676746779E15|$196186.47|
Cinicinnati|3.58918641045802E15|$434298.47|
Reston|3.0432718305625E13|$226674.31|
Durham|3.576745680506316E15|$125832.69|
Tampa|5.010127815017809E15|$218272.84|
Charlotte|3.581423922412577E15|$197808.47|
Reston|5.141248268723446E15|$105327.51|
